gene_name	gene_id
Itfg2	ENSMUSG00000001518
Itga5	ENSMUSG00000000555
Jmjd6	ENSMUSG00000056962
Kcnma1	ENSMUSG00000063142
Kctd15	ENSMUSG00000030499
Kdm3a	ENSMUSG00000053470
Kdm4b	ENSMUSG00000024201
Kdm4c	ENSMUSG00000028397
Kdm5b	ENSMUSG00000042207
Klf10	ENSMUSG00000037465
Klhdc4	ENSMUSG00000040263
Kmt2e	ENSMUSG00000029004
Krt19	ENSMUSG00000020911
Krt80	ENSMUSG00000037185
Kxd1	ENSMUSG00000055553
Ldha	ENSMUSG00000063229
Lonp1	ENSMUSG00000041168
Loxl2	ENSMUSG00000034205
Lpin3	ENSMUSG00000027412
Lrp1	ENSMUSG00000040249
Mab21l3	ENSMUSG00000044313
Maf	ENSMUSG00000055435
Mafk	ENSMUSG00000018143
Maml1	ENSMUSG00000050567
Map1lc3b	ENSMUSG00000031812
Mapk6	ENSMUSG00000042688
Max	ENSMUSG00000059436
Mbtps1	ENSMUSG00000031835
Mdga2	ENSMUSG00000034912
Mgat5	ENSMUSG00000036155
Micall2	ENSMUSG00000036718
Mif	ENSMUSG00000033307
Mpi	ENSMUSG00000032306
Mrpl14	ENSMUSG00000023939
Mrps18a	ENSMUSG00000023967
Msantd3	ENSMUSG00000039693
Mtch2	ENSMUSG00000027282
Mtfp1	ENSMUSG00000004748
Myl4	ENSMUSG00000061086
N4bp3	ENSMUSG00000001053
Nampt	ENSMUSG00000020572
Narf	ENSMUSG00000000056
Nav1	ENSMUSG00000009418
Ncoa3	ENSMUSG00000027678
Ncoa5	ENSMUSG00000039804
Ncor2	ENSMUSG00000029478
Ndrg1	ENSMUSG00000005125
Nfkb2	ENSMUSG00000025225
Nol3	ENSMUSG00000014776
Nr4a2	ENSMUSG00000026826
Nt5dc1	ENSMUSG00000039480
Nthl1	ENSMUSG00000041429
Nup210	ENSMUSG00000030091
Otud7b	ENSMUSG00000038495
Oxsm	ENSMUSG00000021786
Oxsr1	ENSMUSG00000036737
P2ry2	ENSMUSG00000032860
P4ha1	ENSMUSG00000019916
P4ha2	ENSMUSG00000018906
Pard6b	ENSMUSG00000044641
Parn	ENSMUSG00000022685
Pdgfb	ENSMUSG00000000489
Pdk1	ENSMUSG00000006494
Pfdn4	ENSMUSG00000052033
Pfkfb3	ENSMUSG00000026773
Pfkfb4	ENSMUSG00000025648
Pfkl	ENSMUSG00000020277
Pfkp	ENSMUSG00000021196
Pgam1	ENSMUSG00000011752
Pkm	ENSMUSG00000032294
Pkp2	ENSMUSG00000041957
Plod2	ENSMUSG00000032374
Pnma2	ENSMUSG00000046204
Pnpo	ENSMUSG00000018659
Pnrc1	ENSMUSG00000040128
Pou2f1	ENSMUSG00000026565
Ppm1d	ENSMUSG00000020525
Ppp1cb	ENSMUSG00000014956
Ppp1r13l	ENSMUSG00000040734
Ppp1r14b	ENSMUSG00000056612
Ppp1r21	ENSMUSG00000034709
Ppp1r3c	ENSMUSG00000067279
Ppp2r1a	ENSMUSG00000007564
Prdm1	ENSMUSG00000038151
Psmd6	ENSMUSG00000021737
Ptprb	ENSMUSG00000020154
Ptprm	ENSMUSG00000033278
Ptprn	ENSMUSG00000026204
Pxdn	ENSMUSG00000020674
Qsox1	ENSMUSG00000033684
Rab6a	ENSMUSG00000030704
Rad51b	ENSMUSG00000059060
Rai14	ENSMUSG00000022246
Ran	ENSMUSG00000029430
Rap1gap2	ENSMUSG00000038807
Rapgef6	ENSMUSG00000037533
Rasef	ENSMUSG00000043003
Rassf7	ENSMUSG00000038618
Rbpj	ENSMUSG00000039191
Rdh11	ENSMUSG00000066441
Rit1	ENSMUSG00000028057
Rnf126	ENSMUSG00000035890
Rnf19a	ENSMUSG00000022280
Rsbn1	ENSMUSG00000044098
Runx1	ENSMUSG00000022952
S100a10	ENSMUSG00000041959
Sap30	ENSMUSG00000031609
Scarb1	ENSMUSG00000037936
Scyl1	ENSMUSG00000024941
Sec61g	ENSMUSG00000078974
Sema4b	ENSMUSG00000030539
Sertad2	ENSMUSG00000049800
Siah2	ENSMUSG00000036432
Sla	ENSMUSG00000022372
Slc28a1	ENSMUSG00000025726
Slc2a1	ENSMUSG00000028645
Slc2a3	ENSMUSG00000003153
Slc31a1	ENSMUSG00000066150
Slc35e1	ENSMUSG00000019731
Slc37a3	ENSMUSG00000029924
Slc38a2	ENSMUSG00000022462
Slc6a19	ENSMUSG00000021565
Slc8a3	ENSMUSG00000079055
Slc9a9	ENSMUSG00000031129
Smc2	ENSMUSG00000028312
Snapc1	ENSMUSG00000021113
Snapc3	ENSMUSG00000028483
Sos1	ENSMUSG00000024241
Spag4	ENSMUSG00000038180
Spry1	ENSMUSG00000037211
Srsf3	ENSMUSG00000071172
St8sia6	ENSMUSG00000003418
Stc2	ENSMUSG00000020303
Sumf1	ENSMUSG00000030101
Tff1	ENSMUSG00000024032
Tfrc	ENSMUSG00000022797
Tle1	ENSMUSG00000008305
Tm2d3	ENSMUSG00000078681
Tmem18	ENSMUSG00000043061
Tmem183a	ENSMUSG00000042305
Tmem45a	ENSMUSG00000022754
Tmem45b	ENSMUSG00000041737
Tmem88	ENSMUSG00000045377
Tns1	ENSMUSG00000055322
Tpcn2	ENSMUSG00000048677
Tpd52	ENSMUSG00000027506
Tram2	ENSMUSG00000041779
Trim33	ENSMUSG00000033014
Trim37	ENSMUSG00000018548
Triobp	ENSMUSG00000033088
Tsc22d2	ENSMUSG00000027806
Uba6	ENSMUSG00000035898
Ubc	ENSMUSG00000008348
Ube2e1	ENSMUSG00000021774
Ube2v2	ENSMUSG00000022674
Unkl	ENSMUSG00000015127
Upk1b	ENSMUSG00000049436
Utrn	ENSMUSG00000019820
Vdac1	ENSMUSG00000020402
Vgll4	ENSMUSG00000030315
Vkorc1	ENSMUSG00000096145
Vrk1	ENSMUSG00000021115
Wdr54	ENSMUSG00000030032
Wdr5b	ENSMUSG00000034379
Wdr89	ENSMUSG00000045690
Wsb1	ENSMUSG00000017677
Zc3hav1l	ENSMUSG00000047749
Zfat	ENSMUSG00000022335
Zfp36l1	ENSMUSG00000021127
Zswim4	ENSMUSG00000035671
